Datenstand,AnzahlFall,AnzahlTodesfall,AnzahlFall_neu,AnzahlTodesfall_neu,AnzahlFall_7d,report_date,meldedatum_max
2020-03-24,27436,114,4764,28,18577,2020-03-24,2020-03-23
2020-03-25,31554,149,4118,35,19794,2020-03-25,2020-03-24
2020-03-26,36508,198,4954,49,16484,2020-03-26,2020-03-24
2020-03-27,42288,253,5780,55,23176,2020-03-27,2020-03-26
2020-03-28,48582,325,6294,72,25435,2020-03-28,2020-03-27
2020-03-29,52547,389,3965,64,26084,2020-03-29,2020-03-28
2020-03-30,57298,455,4751,66,28507,2020-03-30,2020-03-29
2020-03-31,61913,583,4615,128,29474,2020-03-31,2020-03-30
2020-04-01,67366,732,5453,149,29947,2020-04-01,2020-03-31
2020-04-02,73522,872,6156,140,30392,2020-04-02,2020-04-01
2020-04-03,79696,1017,6174,145,30759,2020-04-03,2020-04-02
2020-04-04,85778,1158,6082,141,30746,2020-04-04,2020-04-03
2020-04-05,91714,1342,5936,184,31897,2020-04-05,2020-04-04
2020-04-06,95391,1434,3677,92,32474,2020-04-06,2020-04-05
2020-04-07,99225,1607,3834,173,32129,2020-04-07,2020-04-06
2020-04-08,103228,1861,4003,254,30195,2020-04-08,2020-04-07
2020-04-09,108202,2107,4974,246,28938,2020-04-09,2020-04-08
2020-04-10,113525,2373,5323,266,27753,2020-04-10,2020-04-09
2020-04-11,117658,2544,4133,171,25649,2020-04-11,2020-04-10
2020-04-12,120479,2673,2821,129,24153,2020-04-12,2020-04-11
2020-04-13,123016,2799,2537,126,24161,2020-04-13,2020-04-12
2020-04-14,125098,2969,2082,170,22582,2020-04-14,2020-04-13
2020-04-15,127584,3254,2486,285,19904,2020-04-15,2020-04-14
2020-04-16,130450,3569,2866,315,17500,2020-04-16,2020-04-15
2020-04-17,133830,3868,3380,299,15901,2020-04-17,2020-04-16
2020-04-18,137439,4110,3609,242,16054,2020-04-18,2020-04-17
2020-04-19,139897,4294,2458,184,15486,2020-04-19,2020-04-18
2020-04-20,141672,4404,1775,110,15551,2020-04-20,2020-04-19
2020-04-21,143457,4598,1785,194,15740,2020-04-21,2020-04-20
2020-04-22,145694,4879,2237,281,15491,2020-04-22,2020-04-21
2020-04-23,148046,5094,2352,215,14539,2020-04-23,2020-04-22
2020-04-24,150383,5321,2337,227,13388,2020-04-24,2020-04-23
2020-04-25,152438,5500,2055,179,12282,2020-04-25,2020-04-24
2020-04-26,154175,5640,1737,140,11919,2020-04-26,2020-04-25
2020-04-27,155193,5750,1018,110,11527,2020-04-27,2020-04-26
2020-04-28,156337,5913,1144,163,10944,2020-04-28,2020-04-27
2020-04-29,157641,6115,1304,202,9999,2020-04-29,2020-04-28
2020-04-30,159119,6288,1478,173,8970,2020-04-30,2020-04-29
2020-05-01,160758,6481,1639,193,8516,2020-05-01,2020-04-30
2020-05-02,161703,6575,945,94,7541,2020-05-02,2020-05-01
2020-05-03,162496,6649,793,74,6989,2020-05-03,2020-05-02
2020-05-04,163175,6692,679,43,6991,2020-05-04,2020-05-03
2020-05-05,163860,6831,685,139,6525,2020-05-05,2020-05-04
2020-05-06,164807,6996,947,165,5981,2020-05-06,2020-05-05
2020-05-07,166091,7119,1284,123,5706,2020-05-07,2020-05-06
2020-05-08,167300,7266,1209,147,5394,2020-05-08,2020-05-07
2020-05-09,168551,7369,1251,103,5703,2020-05-09,2020-05-09
2020-05-10,169218,7395,667,26,5715,2020-05-10,2020-05-09
2020-05-11,169575,7417,357,22,5769,2020-05-11,2020-05-10
2020-05-12,170508,7533,933,116,5730,2020-05-12,2020-05-11
2020-05-13,171306,7634,798,101,5374,2020-05-13,2020-05-12
2020-05-14,172239,7723,933,89,5075,2020-05-14,2020-05-13
2020-05-15,173152,7824,913,101,4727,2020-05-15,2020-05-14
2020-05-16,173772,7881,620,57,4407,2020-05-16,2020-05-15
2020-05-17,174355,7914,583,33,4327,2020-05-17,2020-05-16
2020-05-18,174697,7935,342,21,4309,2020-05-18,2020-05-17
2020-05-19,175210,8007,513,72,4075,2020-05-19,2020-05-18
2020-05-20,176007,8090,797,83,4002,2020-05-20,2020-05-19
2020-05-21,176752,8147,745,57,3830,2020-05-21,2020-05-20
2020-05-22,177212,8174,460,27,3487,2020-05-22,2020-05-21
2020-05-23,177850,8216,638,42,3441,2020-05-23,2020-05-22
2020-05-24,178281,8247,431,31,3417,2020-05-24,2020-05-23
2020-05-25,178570,8257,289,10,3395,2020-05-25,2020-05-24
2020-05-26,179002,8302,432,45,3260,2020-05-26,2020-05-25
2020-05-27,179364,8349,362,47,2887,2020-05-27,2020-05-26
2020-05-28,179717,8411,353,62,2801,2020-05-28,2020-05-27
